"id";"tipo";"id_marca";"id_modelo";"id_modelo_ano";"name"
"6049";"1";"22";"6426";"2014-1";"2014 Gasolina"
"6050";"1";"161";"6661";"2015-1";"2015 Gasolina"
"6051";"1";"161";"6661";"2014-1";"2014 Gasolina"
"6052";"1";"161";"6661";"2013-1";"2013 Gasolina"
"6053";"1";"22";"5668";"2019-1";"2019 Gasolina"
"6054";"1";"22";"5668";"2018-1";"2018 Gasolina"
"6055";"1";"22";"5668";"2017-1";"2017 Gasolina"
"6056";"1";"22";"5668";"2013-1";"2013 Gasolina"
"6057";"1";"22";"5668";"2012-1";"2012 Gasolina"
"6058";"1";"22";"5668";"2011-1";"2011 Gasolina"
"6059";"1";"161";"5021";"2015-1";"2015 Gasolina"
"6060";"1";"161";"5021";"2014-1";"2014 Gasolina"
"6061";"1";"161";"5021";"2013-1";"2013 Gasolina"
"6062";"1";"161";"5021";"2012-1";"2012 Gasolina"
"6063";"1";"161";"5021";"2011-1";"2011 Gasolina"
"6064";"1";"161";"5021";"2010-1";"2010 Gasolina"
"6065";"1";"161";"5021";"2009-1";"2009 Gasolina"
"6066";"1";"22";"6427";"2014-1";"2014 Gasolina"
"6067";"1";"22";"8148";"2019-1";"2019 Gasolina"
"6068";"1";"22";"8148";"2018-1";"2018 Gasolina"
"6069";"1";"161";"8571";"2022-1";"2022 Gasolina"
"6070";"1";"161";"8571";"2021-1";"2021 Gasolina"
"6071";"1";"161";"8571";"2020-1";"2020 Gasolina"
"6072";"1";"161";"8571";"2019-1";"2019 Gasolina"
"6073";"1";"22";"8008";"2017-1";"2017 Gasolina"
"6074";"1";"22";"7753";"2019-1";"2019 Gasolina"
"6075";"1";"22";"7753";"2018-1";"2018 Gasolina"
"6076";"1";"22";"7753";"2017-1";"2017 Gasolina"
"6077";"1";"161";"8572";"2022-1";"2022 Gasolina"
"6078";"1";"161";"8572";"2021-1";"2021 Gasolina"
"6079";"1";"161";"8572";"2020-1";"2020 Gasolina"
"6080";"1";"161";"8572";"2019-1";"2019 Gasolina"
"6081";"1";"22";"785";"2013-1";"2013 Gasolina"
"6082";"1";"22";"785";"2012-1";"2012 Gasolina"
"6083";"1";"22";"785";"2011-1";"2011 Gasolina"
"6084";"1";"22";"785";"2010-1";"2010 Gasolina"
"6085";"1";"22";"785";"2009-1";"2009 Gasolina"
"6086";"1";"22";"785";"2008-1";"2008 Gasolina"
"6087";"1";"22";"785";"2007-1";"2007 Gasolina"
"6088";"1";"22";"785";"2006-1";"2006 Gasolina"
"6089";"1";"22";"785";"2005-1";"2005 Gasolina"
"6090";"1";"161";"8586";"2022-1";"2022 Gasolina"
"6091";"1";"161";"8586";"2021-1";"2021 Gasolina"
"6092";"1";"161";"8586";"2020-1";"2020 Gasolina"
"6093";"1";"161";"8586";"2019-1";"2019 Gasolina"
"6094";"1";"161";"8587";"2022-1";"2022 Gasolina"
"6095";"1";"161";"8587";"2021-1";"2021 Gasolina"
"6096";"1";"161";"8587";"2020-1";"2020 Gasolina"
"6097";"1";"161";"8587";"2019-1";"2019 Gasolina"
"6098";"1";"161";"9162";"2024-1";"2024 Gasolina"
"6099";"1";"161";"9162";"2023-1";"2023 Gasolina"
"6100";"1";"161";"9162";"2022-1";"2022 Gasolina"
"6101";"1";"161";"9162";"2021-1";"2021 Gasolina"
"6102";"1";"161";"9162";"2019-1";"2019 Gasolina"
"6103";"1";"22";"786";"2007-1";"2007 Gasolina"
"6104";"1";"22";"786";"2006-1";"2006 Gasolina"
"6105";"1";"22";"786";"2005-1";"2005 Gasolina"
"6106";"1";"22";"787";"2006-1";"2006 Gasolina"
"6107";"1";"22";"787";"2005-1";"2005 Gasolina"
"6108";"1";"22";"6523";"2017-1";"2017 Gasolina"
"6109";"1";"22";"6523";"2016-1";"2016 Gasolina"
"6110";"1";"22";"6523";"2015-1";"2015 Gasolina"
"6111";"1";"22";"6523";"2014-1";"2014 Gasolina"
"6112";"1";"11";"260";"1995-3";"1995 Diesel"
"6113";"1";"11";"260";"1994-3";"1994 Diesel"
"6114";"1";"11";"260";"1993-3";"1993 Diesel"
"6115";"1";"11";"260";"1992-3";"1992 Diesel"
"6116";"1";"11";"260";"1991-3";"1991 Diesel"
"6117";"1";"11";"260";"1990-3";"1990 Diesel"
"6118";"1";"11";"260";"1989-3";"1989 Diesel"
